RX_ID,X,Y,Z,SNR_dB,RX_Power_dBm,CQI,LOS,User_Request,Request_Label
1,-45.12,78.59,1.50,25.68,-67.31,13,0,I need reliable connectivity for implanted medical devices,URLLC
2,58.07,-96.00,1.50,19.82,-73.17,11,0,I need to monitor and control critical manufacturing processes in real-time,URLLC
3,-168.79,136.85,1.50,6.33,-86.66,7,0,I need instant facial recognition for public security threats,URLLC
4,-209.16,-75.49,1.50,5.59,-87.40,6,0,I want to stream a webinar with interactive features,eMBB
5,-189.95,44.57,1.50,8.60,-84.39,8,0,I want to read news articles online,eMBB
6,-124.21,115.02,1.50,11.82,-81.17,9,0,I need to synchronize distributed financial ledgers instantly,URLLC
7,-44.77,-50.60,1.50,30.89,-62.10,15,0,I want to participate in a virtual reality gaming session,eMBB
8,-68.46,148.74,1.50,12.59,-80.40,9,0,I want to download a large software update,eMBB
9,-55.77,-98.51,1.50,19.85,-73.14,11,0,I need to control a robotic arm in real time,URLLC
10,-37.25,106.26,1.50,20.86,-72.13,12,0,I want to play competitive mobile games with ultra-low latency,URLLC
11,10.64,-114.19,1.50,19.39,-73.60,11,0,I need instant alerts for life-threatening patient conditions,URLLC
12,-213.51,-109.86,1.50,3.89,-89.10,6,0,I need to participate in an online multiplayer game,URLLC
13,-13.90,-8.67,1.50,58.98,-34.01,15,0,I need to make a high-quality voice call,eMBB
14,-32.67,58.49,1.50,32.41,-60.58,15,0,I need to stream 8K video content,eMBB
15,-71.60,97.07,1.50,19.33,-73.66,11,0,I need AI-based video analytics,eMBB
16,-36.78,-106.47,1.50,19.88,-73.11,11,0,I need instant alerts for life-threatening patient conditions,URLLC
17,-19.11,55.60,1.50,35.32,-57.67,15,0,I want to listen to low-quality audio streaming,eMBB
18,-232.79,141.80,1.50,1.34,-91.65,5,0,I need real-time fraud detection for financial transactions,URLLC
19,-182.64,30.22,1.50,9.73,-83.26,8,0,I want to use augmented reality navigation,eMBB
20,-106.06,-30.85,1.50,20.79,-72.20,12,0,I want to browse websites and check email,eMBB
21,-12.45,-24.65,1.50,48.56,-44.43,15,0,I need to synchronize distributed financial ledgers instantly,URLLC
22,-225.38,141.83,1.50,1.86,-91.13,5,0,I want to use augmented reality navigation,eMBB
23,-191.42,-6.87,1.50,8.92,-84.07,8,0,I want to watch 4K video,eMBB
24,-58.31,41.96,1.50,30.73,-62.26,15,0,I need my autonomous vehicle to communicate in real time,URLLC
25,-154.66,2.78,1.50,13.60,-79.39,9,0,I need to control precision CNC machines with zero tolerance for delay,URLLC
26,-221.83,-71.78,1.50,4.57,-88.42,6,0,I need to synchronize distributed financial ledgers instantly,URLLC
27,-177.52,74.39,1.50,8.94,-84.05,8,0,I want to play competitive mobile games with ultra-low latency,URLLC
28,-104.23,-102.64,1.50,14.49,-78.50,10,0,I need to sync my calendar and contacts,eMBB
29,-159.52,-14.44,1.50,12.80,-80.19,9,0,I need instant facial recognition for public security threats,URLLC
30,-121.30,-84.40,1.50,14.34,-78.65,10,0,I want to monitor my home security cameras remotely,URLLC
