User ID,Allocation Status,Slice,Ground Truth,Intent Correct,CQI,Bandwidth (MHz),Rate (Mbps),Latency (ms),Constraint Violation,Request
1,Success,URLLC,eMBB,No,13,3,45.0,5,No,I need real-time traffic updates for navigation
2,Success,eMBB,eMBB,Yes,15,10,150.0,50,No,I want to stream a live sports event in HD
3,Success,URLLC,URLLC,Yes,13,3,45.0,5,No,I need real-time fraud detection for financial transactions
4,Success,URLLC,URLLC,Yes,13,4,60.0,5,No,I need emergency response coordination during a disaste
5,Success,eMBB,eMBB,Yes,15,10,150,50,No,I want to use augmented reality navigation
6,Success,URLLC,URLLC,Yes,15,5,75.0,5,No,I need vehicle-to-vehicle collision avoidance systems
7,Success,URLLC,URLLC,Yes,15,3,45.0,1,No,I need microsecond-level latency for high-frequency tradin
8,Success,URLLC,URLLC,Yes,15,3,45.0,5,No,I need to balance electrical load in real-time across microgrids
9,Success,eMBB,eMBB,Yes,15,10,150.0,50,No,I want to participate in a virtual reality gaming session
10,Success,URLLC,URLLC,Yes,13,3,45.0,5,No,I need to control precision CNC machines with zero tolerance for delay
11,Success,URLLC,URLLC,Yes,15,4,60.0,5,No,I need reliable communication for firefighters inside buildings
12,Success,URLLC,URLLC,Yes,15,2,30.0,5,No,I need to balance electrical load in real-time across microgrids
13,Failed,eMBB,eMBB,N/A,15,6,90.0,50,Yes,I need to check weather forecasts
14,Success,eMBB,eMBB,Yes,15,10,150.0,50,No,I want to stream a live sports event in HD
15,Success,eMBB,eMBB,Yes,15,10,150.0,50,No,I want to stream music while browsing social media
16,Success,eMBB,eMBB,Yes,15,10,150.0,50,No,I want to use holographic communication
17,Failed,URLLC,URLLC,N/A,15,5,75.0,5,No,I need immediate machine shutdown capability for safety incidents
18,Failed,URLLC,URLLC,N/A,15,5,75.0,5,No,I need my autonomous vehicle to communicate in real time
19,Success,eMBB,eMBB,Yes,15,10,150.0,50,No,I want to stream a live sports event in HD
20,Failed,URLLC,URLLC,N/A,15,5,75.0,5,No,I need reliable connectivity for implanted medical devices
21,Success,eMBB,eMBB,Yes,14,10,150.0,50,No,I want to use augmented reality navigation
22,Success,eMBB,eMBB,Yes,15,10,150.0,50,No,I want to stream music while browsing social media
23,Failed,URLLC,URLLC,N/A,15,5,75.0,5,No,I need to balance electrical load in real-time across microgrids
24,Failed,eMBB,eMBB,N/A,15,6,90.0,50,Yes,I want to browse websites and check email
25,Failed,URLLC,URLLC,N/A,15,5,75.0,5,No,I need to deploy early warning systems for natural disasters
26,Failed,URLLC,URLLC,N/A,15,5,75.0,5,No,I need to deploy early warning systems for natural disasters
27,Failed,eMBB,eMBB,N/A,15,6,90.0,50,Yes,I want to watch 4K video
28,Failed,URLLC,URLLC,N/A,15,5,75.0,5,No,I need to monitor IoT sensors in real-time
29,Failed,URLLC,URLLC,N/A,15,5,75.0,5,No,I need to detect and isolate power grid faults instantly
30,Failed,URLLC,eMBB,N/A,15,5,75.0,5,No,I want to monitor my home security cameras remotely

SUMMARY STATISTICS
Average eMBB Utilization (%),38.27
Average URLLC Utilization (%),68.33
Constraint Violations,3

INTENT UNDERSTANDING EVALUATION
Total Evaluated Requests,18
Correctly Identified Intents,17
Intent Understanding Rate (%),94.44
