User ID,Allocation Status,Slice,Ground Truth,Intent Correct,CQI,Bandwidth (MHz),Rate (Mbps),Latency (ms),Constraint Violation,Request
1,Success,URLLC,eMBB,No,15,1,15.0,10,No,I want to update my social media status
2,Success,URLLC,URLLC,Yes,15,1,15.0,1,No,I need to control precision CNC machines with zero tolerance for delay
3,Success,URLLC,URLLC,Yes,11,2,30.0,5,No,I need reliable communication for firefighters inside buildings
4,Success,URLLC,URLLC,Yes,8,2,20.0,5,No,I need to monitor IoT sensors in real-time
5,Success,URLLC,URLLC,Yes,7,2,20.0,5,No,I need to detect and isolate power grid faults instantly
6,Success,URLLC,URLLC,Yes,9,2,20.0,5,No,I want to play competitive mobile games with ultra-low latency
7,Success,URLLC,eMBB,No,15,2,30.0,5,No,I want to monitor my home security cameras remotely
8,Success,eMBB,eMBB,Yes,14,10,150.0,50,No,I want to download a large software update
9,Success,URLLC,URLLC,Yes,13,3,45.0,5,No,I need to synchronize distributed financial ledgers instantly
10,Success,eMBB,eMBB,Yes,15,10,150.0,50,No,I want to use augmented reality navigation
11,Success,URLLC,eMBB,No,10,1,10.0,5,No,I need to sync my calendar and contacts
12,Success,URLLC,eMBB,No,12,2,30.0,5,No,I need real-time traffic updates for navigation
13,Success,eMBB,eMBB,Yes,9,10,100.0,50,No,I want to use augmented reality navigation
14,Success,URLLC,URLLC,Yes,15,5,75.0,5,No,I want to use remote surgery equipment
15,Success,URLLC,eMBB,No,7,2,20.0,5,No,I need to sync my calendar and contacts
16,Success,URLLC,URLLC,Yes,14,5,75.0,5,No,I need to monitor IoT sensors in real-time
17,Failed,URLLC,URLLC,N/A,11,5,75.0,5,No,I need to deploy early warning systems for natural disasters
18,Failed,URLLC,URLLC,N/A,8,3,30.0,5,No,I need to participate in an online multiplayer game
19,Failed,URLLC,URLLC,N/A,9,5,50.0,5,No,I need emergency response coordination during a disaste
20,Failed,URLLC,URLLC,N/A,11,5,75.0,1,No,I need microsecond-level latency for high-frequency tradin
21,Success,eMBB,eMBB,Yes,12,10,150.0,50,No,I need to check weather forecasts
22,Failed,URLLC,URLLC,N/A,9,5,50.0,5,No,I need to balance electrical load in real-time across microgrids
23,Success,eMBB,eMBB,Yes,6,10,100.0,50,No,I need AI-based video analytics
24,Failed,URLLC,URLLC,N/A,8,5,50.0,5,No,I need to monitor and control critical manufacturing processes in real-time
25,Failed,URLLC,URLLC,N/A,9,5,50.0,5,No,I need to control remote diagnostic equipment in rural clinics
26,Failed,URLLC,URLLC,N/A,13,5,75.0,5,No,I need to participate in an online multiplayer game
27,Failed,URLLC,URLLC,N/A,13,5,75.0,5,No,I need to control critical infrastructure with zero downtime
28,Failed,URLLC,URLLC,N/A,10,3,30.0,5,No,I need to transmit real-time patient vital signs during critical care
29,Success,eMBB,eMBB,Yes,11,7,105.0,50,No,I want to read news articles online
30,Failed,URLLC,eMBB,N/A,6,1,10.0,10,No,I need to make a high-quality voice call

SUMMARY STATISTICS
Average eMBB Utilization (%),20.29
Average URLLC Utilization (%),53.51
Constraint Violations,0

INTENT UNDERSTANDING EVALUATION
Total Evaluated Requests,19
Correctly Identified Intents,14
Intent Understanding Rate (%),73.68
